temps (s);speed (m/s);power_shaft (W);fuel_cumul (m^3);fuel_consom_cumul (litre)
302.0;6.249478775748479;345101.50781522243;-0.0031553817050358536;3.1553817050358535
303.0;6.299474605954466;354033.1758203111;-0.0031921827996888477;3.192182799688848
304.0;6.349470436160454;363135.63590123714;-0.0032297382985468754;3.2297382985468754
305.0;6.399466266366442;372411.0564829368;-0.0032680625364301863;3.268062536430186
306.0;6.44946209657243;381861.6199824773;-0.0033071700290359133;3.3071700290359134
307.0;6.499457926778418;391489.52280905785;-0.0033470754740977295;3.3470754740977293
308.0;6.549453756984406;401296.9753640088;-0.003387793752545503;3.387793752545503
309.0;6.599449587190392;411286.202040792;-0.0034293399296649544;3.4293399296649545
310.0;6.649445417396381;421459.44122500153;-0.0034717292562573116;3.4717292562573117
311.0;6.699441247602369;431818.9452943618;-0.003514977169798967;3.514977169798967
312.0;6.7494370778083566;442366.98061872914;-0.0035590992956011317;3.559099295601132
313.0;6.799432908014345;453105.82756009174;-0.003604111447969494;3.604111447969494
314.0;6.8494287382203325;464037.7804725686;-0.0036500296313638735;3.6500296313638736
315.0;6.899424568426319;475165.14770241064;-0.003696870041557878;3.6968700415578777
316.0;6.9494203986323075;486490.2515880008;-0.003744649066798559;3.744649066798559
317.0;6.999416228838296;498015.4284598525;-0.0037933832889660685;3.7933832889660684
318.0;7.0;498151.19200000004;-0.0038421287631011415;3.8421287631011416
319.0;7.0;498151.19200000004;-0.0038908742372362145;3.8908742372362144
320.0;7.0;498151.19200000004;-0.0039396197113712875;3.9396197113712876
321.0;7.0;498151.19200000004;-0.003988365185506361;3.988365185506361
322.0;7.0;498151.19200000004;-0.004037110659641434;4.037110659641434
323.0;7.0;498151.19200000004;-0.004085856133776508;4.085856133776508
324.0;7.0;498151.19200000004;-0.004134601607911581;4.1346016079115815
325.0;7.0;498151.19200000004;-0.004183347082046655;4.183347082046654
326.0;7.0;498151.19200000004;-0.004232092556181728;4.232092556181728
327.0;7.0;498151.19200000004;-0.0042808380303168015;4.280838030316802
328.0;7.0;498151.19200000004;-0.004329583504451875;4.329583504451875
329.0;7.0;498151.19200000004;-0.004378328978586948;4.378328978586948
330.0;7.0;498151.19200000004;-0.004427074452722022;4.427074452722022
331.0;7.0;498151.19200000004;-0.004475819926857095;4.4758199268570955
332.0;7.0;498151.19200000004;-0.004524565400992169;4.524565400992168
333.0;7.0;498151.19200000004;-0.004573310875127242;4.573310875127242
334.0;7.0;498151.19200000004;-0.0046220563492623155;4.622056349262316
335.0;7.0;498151.19200000004;-0.004670801823397389;4.670801823397389
336.0;7.0;498151.19200000004;-0.004719547297532462;4.719547297532462
337.0;7.0;498151.19200000004;-0.004768292771667536;4.768292771667536
338.0;7.0;498151.19200000004;-0.004817038245802609;4.8170382458026095
339.0;7.0;498151.19200000004;-0.004865783719937683;4.865783719937682
340.0;7.0;498151.19200000004;-0.004914529194072756;4.914529194072756
341.0;7.0;498151.19200000004;-0.0049632746682078295;4.96327466820783
342.0;7.0;498151.19200000004;-0.005012020142342903;5.0120201423429025
343.0;7.0;498151.19200000004;-0.005060765616477976;5.060765616477976
344.0;7.0;498151.19200000004;-0.00510951109061305;5.10951109061305
345.0;7.0;498151.19200000004;-0.005158256564748123;5.1582565647481236
346.0;7.0;498151.19200000004;-0.005207002038883197;5.207002038883196
347.0;7.0;498151.19200000004;-0.00525574751301827;5.25574751301827
348.0;7.0;498151.19200000004;-0.0053044929871533435;5.304492987153344
349.0;7.0;498151.19200000004;-0.005353238461288417;5.3532384612884165
350.0;7.0;498151.19200000004;-0.00540198393542349;5.40198393542349
351.0;7.0;498151.19200000004;-0.005450729409558564;5.450729409558564
352.0;7.0;498151.19200000004;-0.005499474883693637;5.499474883693638
353.0;7.0;498151.19200000004;-0.005548220357828711;5.54822035782871
354.0;7.0;498151.19200000004;-0.005596965831963784;5.596965831963784
355.0;7.0;498151.19200000004;-0.0056457113060988575;5.645711306098858
356.0;7.0;498151.19200000004;-0.005694456780233931;5.6944567802339305
357.0;7.0;498151.19200000004;-0.005743202254369004;5.743202254369004
358.0;7.0;498151.19200000004;-0.005791947728504078;5.791947728504078
359.0;7.0;498151.19200000004;-0.005840693202639151;5.840693202639152
360.0;7.0;498151.19200000004;-0.005889438676774225;5.889438676774224
361.0;7.0;498151.19200000004;-0.005938184150909298;5.938184150909298
362.0;7.0;498151.19200000004;-0.0059869296250443715;5.986929625044372
363.0;7.0;498151.19200000004;-0.006035675099179445;6.035675099179445
364.0;7.0;498151.19200000004;-0.006084420573314518;6.084420573314518
365.0;7.0;498151.19200000004;-0.006133166047449592;6.133166047449592
366.0;7.0;498151.19200000004;-0.006181911521584665;6.181911521584666
367.0;7.0;498151.19200000004;-0.006230656995719739;6.230656995719738
368.0;7.0;498151.19200000004;-0.006279402469854812;6.279402469854812
369.0;7.0;498151.19200000004;-0.0063281479439898855;6.328147943989886
370.0;7.0;498151.19200000004;-0.006376893418124959;6.376893418124959
371.0;7.0;498151.19200000004;-0.006425638892260032;6.425638892260032
372.0;7.0;498151.19200000004;-0.006474384366395106;6.474384366395106
373.0;7.0;498151.19200000004;-0.006523129840530179;6.52312984053018
374.0;7.0;498151.19200000004;-0.006571875314665253;6.571875314665252
375.0;7.0;498151.19200000004;-0.006620620788800326;6.620620788800326
376.0;7.0;498151.19200000004;-0.0066693662629353995;6.6693662629354
377.0;7.0;498151.19200000004;-0.006718111737070473;6.718111737070473
378.0;7.0;498151.19200000004;-0.006766857211205546;6.766857211205546
379.0;7.0;498151.19200000004;-0.00681560268534062;6.81560268534062
380.0;7.0;498151.19200000004;-0.006864348159475693;6.864348159475694
381.0;7.0;498151.19200000004;-0.006913093633610767;6.9130936336107665
382.0;7.0;498151.19200000004;-0.00696183910774584;6.96183910774584
383.0;7.0;498151.19200000004;-0.0070105845818809135;7.010584581880914
384.0;7.0;498151.19200000004;-0.007059330056015987;7.059330056015987
385.0;7.0;498151.19200000004;-0.00710807553015106;7.10807553015106
386.0;7.0;498151.19200000004;-0.007156821004286134;7.156821004286134
387.0;7.0;498151.19200000004;-0.007205566478421207;7.205566478421207
388.0;7.0;498151.19200000004;-0.007254311952556281;7.2543119525562805
389.0;7.0;498151.19200000004;-0.007303057426691354;7.303057426691354
390.0;7.0;498151.19200000004;-0.0073518029008264275;7.351802900826428
391.0;7.0;498151.19200000004;-0.007400548374961501;7.400548374961501
392.0;7.0;498151.19200000004;-0.007449293849096574;7.449293849096574
