;temps (s);speed (m/s);power_shaft (W);fuel_cumul (m^3)
224;33915.0;2.349804019681428;19763.265160888976;-0.0017007573477526162
225;33915.0;2.3997998498874153;20904.47495600781;-0.0017099490169848906
226;33915.0;2.4497956800934038;22090.449439049953;-0.0017192389787808362
227;33915.0;2.4997915102993913;23322.265648695782;-0.0017286310324640436
228;33915.0;2.5497873405053793;24601.01461575724;-0.0017381290677818152
229;33915.0;2.599783170711367;25927.80136317771;-0.0017477370660648225
230;33915.0;2.6497790009173547;27303.744906032036;-0.001757459101386761
231;33915.0;2.6997748311233427;28729.9782515266;-0.001767299341724007
232;33915.0;2.7497706613293307;30207.648398999234;-0.0017772620501152728
233;33915.0;2.799766491535318;31737.916339919226;-0.0017873515858212639
234;33915.0;2.849762321741306;33321.95705788742;-0.0017975724054843341
235;33915.0;2.899758151947294;34960.95952863606;-0.0018079290642881423
236;33915.0;2.9497539821532817;36656.126720028915;-0.0018184262171173076
237;33915.0;2.9997498123592696;38408.67559206126;-0.001829068619717066
238;33915.0;3.0497456425652576;40219.8370968598;-0.0018398611298529265
239;33915.0;3.099741472771245;42090.856178682734;-0.0018508087084703267
240;33915.0;3.149737302977233;44022.991773919784;-0.0018619164208542893
241;33915.0;3.199733133183221;46017.51681109211;-0.0018731894377890777
242;33915.0;3.249728963389209;48075.71821085235;-0.0018846330367178524
243;33915.0;3.299724793595196;50198.896885984635;-0.001896252602902327
244;33915.0;3.3497206238011845;52388.367741404676;-0.0019080536305824238
245;33915.0;3.3997164540071725;54645.4596741595;-0.0019200417241359306
246;33915.0;3.4497122842131596;56971.51557342765;-0.001932222599238156
247;33915.0;3.499708114419148;59367.89232051931;-0.001944602084021586
248;33915.0;3.549703944625136;61835.96078887597;-0.00195718612023554
249;33915.0;3.599699774831123;64377.1058440706;-0.001969980764405826
250;33915.0;3.6496956050371114;66992.72634380785;-0.001982992188994398
251;33915.0;3.6996914352430994;69684.23513792362;-0.001996226683559011
252;33915.0;3.7496872654490865;72453.05906838537;-0.002009690655912877
253;33915.0;3.799683095655075;75300.63896929217;-0.0020233906332843225
254;33915.0;3.849678925861063;78228.42966687436;-0.0020373332634764426
255;33915.0;3.89967475606705;81237.89997949387;-0.002051525316026758
256;33915.0;3.9496705862730384;84330.53271764422;-0.002065973683366871
257;33915.0;3.9996664164790263;87507.8246839502;-0.002080685381982122
258;33915.0;4.049662246685013;90771.28667316816;-0.0020956675535712442
259;33915.0;4.099658076891002;94122.44347218606;-0.002110927466206021
260;33915.0;4.149653907096989;97562.8338600231;-0.0021264725154909415
261;33915.0;4.199649737302977;101094.0106078302;-0.0021423102257228563
262;33915.0;4.249645567508965;104717.54047888971;-0.002158448251050634
263;33915.0;4.299641397714953;108435.00422861527;-0.0021748943766348172
264;33915.0;4.34963722792094;112247.9966045522;-0.002191656519807278
265;33915.0;4.399633058126929;116158.12634637732;-0.002208742731230875
266;33915.0;4.449628888332916;120167.01618589877;-0.0022261611960591077
267;33915.0;4.499624718538904;124276.30284705627;-0.002243920235095775
268;33915.0;4.549620548744892;128487.63704592112;-0.0022620283059546285
269;33915.0;4.59961637895088;132802.68349069584;-0.002280494004219031
270;33915.0;4.649612209156867;137223.12088171468;-0.002299326064601611
271;33915.0;4.699608039362856;141750.64191144332;-0.0023185333621039187
272;33915.0;4.749603869568843;146386.95326447877;-0.002338124913176083
273;33915.0;4.799599699774831;151133.7756175497;-0.0023581098768764674
274;33915.0;4.849595529980819;155992.84363951627;-0.002378497556031325
275;33915.0;4.8995913601868075;160965.90599136997;-0.0023992973983944558
276;33915.0;4.949587190392795;166054.72532623375;-0.002420518997806862
277;33915.0;4.999583020598783;171261.0782893623;-0.002442172095356404
278;33915.0;5.049578850804771;176586.75551814164;-0.002464266580537457
279;33915.0;5.0995746810107585;182033.56164208913;-0.0024868124924105665
280;33915.0;5.149570511216746;187603.3152828539;-0.0025098200207621046
