time_s;profile_speed_m_per_s;converter_motor_out_W;storage_fuel_tank_v_stock_l
17706.0;7.0;498151.19200000004;312.24166796467966
17707.0;7.0;498151.19200000004;312.1936641742989
17708.0;7.0;498151.19200000004;312.1456603839182
17709.0;7.0;498151.19200000004;312.09765659353747
17710.0;7.0;498151.19200000004;312.0496528031567
17711.0;7.0;498151.19200000004;312.00164901277594
17712.0;7.0;498151.19200000004;311.9536452223952
17713.0;7.0;498151.19200000004;311.9056414320145
17714.0;7.0;498151.19200000004;311.8576376416337
17715.0;7.0;498151.19200000004;311.80963385125307
17716.0;7.0;498151.19200000004;311.7616300608723
17717.0;7.0;498151.19200000004;311.7136262704915
17718.0;7.0;498151.19200000004;311.66562248011076
17719.0;7.0;498151.19200000004;311.61761868973
17720.0;7.0;498151.19200000004;311.5696148993493
17721.0;7.0;498151.19200000004;311.52161110896856
17722.0;7.0;498151.19200000004;311.4736073185879
17723.0;7.0;498151.19200000004;311.4256035282071
17724.0;7.0;498151.19200000004;311.3775997378263
17725.0;7.0;498151.19200000004;311.3295959474456
17726.0;7.0;498151.19200000004;311.28159215706484
17727.0;7.0;498151.19200000004;311.23358836668416
17728.0;7.0;498151.19200000004;311.18558457630337
17729.0;7.0;498151.19200000004;311.13758078592264
17730.0;7.0;498151.19200000004;311.0895769955419
17731.0;7.0;498151.19200000004;311.0415732051611
17732.0;7.0;498151.19200000004;310.99356941478044
17733.0;7.0;498151.19200000004;310.9455656243997
17734.0;7.0;498151.19200000004;310.8975618340189
17735.0;7.0;498151.19200000004;310.8495580436382
17736.0;7.0;498151.19200000004;310.80155425325745
17737.0;7.0;498151.19200000004;310.7535504628767
17738.0;7.0;498151.19200000004;310.7055466724959
17739.0;7.0;498151.19200000004;310.65754288211525
17740.0;7.0;498151.19200000004;310.6095390917345
17741.0;7.0;498151.19200000004;310.56153530135373
17742.0;7.0;498151.19200000004;310.513531510973
17743.0;7.0;498151.19200000004;310.46552772059226
17744.0;7.0;498151.19200000004;310.41752393021153
17745.0;7.0;498151.19200000004;310.36952013983074
17746.0;7.0;498151.19200000004;310.3215163494501
17747.0;7.0;498151.19200000004;310.27351255906933
17748.0;7.0;498151.19200000004;310.22550876868854
17749.0;7.0;498151.19200000004;310.1775049783078
17750.0;7.0;498151.19200000004;310.1295011879271
17751.0;7.0;498151.19200000004;310.0814973975463
17752.0;7.0;498151.19200000004;310.0334936071656
17753.0;7.0;498151.19200000004;309.9854898167849
17754.0;7.0;498151.19200000004;309.93748602640414
17755.0;7.0;498151.19200000004;309.88948223602335
17756.0;7.0;498151.19200000004;309.84147844564257
17757.0;7.0;498151.19200000004;309.7934746552619
17758.0;7.0;498151.19200000004;309.74547086488116
17759.0;7.0;498151.19200000004;309.6974670745004
17760.0;7.0;498151.19200000004;309.6494632841197
17761.0;7.0;498151.19200000004;309.60145949373896
17762.0;7.0;498151.19200000004;309.55345570335817
17763.0;7.0;498151.19200000004;309.5054519129775
17764.0;7.0;498151.19200000004;309.45744812259676
17765.0;7.0;498151.19200000004;309.40944433221597
17766.0;7.0;498151.19200000004;309.36144054183524
17767.0;7.0;498151.19200000004;309.3134367514545
17768.0;7.0;498151.19200000004;309.26543296107377
17769.0;7.0;498151.19200000004;309.217429170693
17770.0;7.0;498151.19200000004;309.16942538031236
17771.0;7.0;498151.19200000004;309.1214215899316
17772.0;7.0;498151.19200000004;309.0734177995508
17773.0;7.0;498151.19200000004;309.02541400917005
17774.0;7.0;498151.19200000004;308.9774102187893
17775.0;7.0;498151.19200000004;308.9294064284085
